relative_path,group,row_number,pair_key,ko_preview,en_preview,ko_codepoints,en_codepoints,ko_utf8_bytes,en_utf8_bytes,대분류,소분류,상황,발화자,자동분류1,자동분류2,자동분류3,언론사,키워드,지자체
1_구어체(1).xlsx,구어체,249,248,OSD 메뉴 SYSTEM 쪽을 보면 아웃풋 을 변경할 수 있다.,You can change the output if you look at the SYSTEM part of the OSD menu.,35,73,67,73,,,,,,,,,,
1_구어체(1).xlsx,구어체,264,263,SpaceX가 수직이착륙 로켓을 개발하여 여러 비행시험을 시행한 사례가 있습니다.,SpaceX has developed a VTOL rocket and did a test flight.,45,57,105,57,,,,,,,,,,
1_구어체(1).xlsx,구어체,332,331,갤럭시 호텔에서 당신 집까지 얼마나 걸리나요?,How long does it take from the Galaxy hotel to your home?,25,57,63,57,,,,,,,,,,
1_구어체(1).xlsx,구어체,522,521,"동원아, 네가 요즘 너의 삶에 목표가 없는 것 때문에 많이 고민하는 것 같아서 내가 편지를 쓰고있어.","Dong-won, I am writing you a letter because you seem to have a concern over the lack of goals in your life recently.",56,116,134,116,,,,,,,,,,
1_구어체(1).xlsx,구어체,571,570,롯데칠성음료가 제조 및 판매하는 한국 맥주입니다.,It is Korean beer that Lotte-Chilsung Beverage manufactures and distributes.,27,76,69,76,,,,,,,,,,
1_구어체(1).xlsx,구어체,979,978,엑스맨 영화로 많은 인기를 얻었습니다.,He gained great popularity thanks to the movie X-man.,21,53,53,53,,,,,,,,,,
1_구어체(1).xlsx,구어체,1163,1162,제니퍼가 페이스북에 내 사진을 계속 올리는 이유가 뭐야?,Why is Jenifer uploading my photo on the Facebook?,31,50,77,50,,,,,,,,,,
1_구어체(1).xlsx,구어체,1259,1258,치에는 지금 어디에 있어요?,Where's Chie now?,15,17,37,17,,,,,,,,,,
1_구어체(1).xlsx,구어체,1330,1329,토론토에서 좋은 추억 많이 만들었길 바라.,I wish you made good memories in Toronto.,23,41,57,41,,,,,,,,,,
1_구어체(1).xlsx,구어체,1479,1478,형빈 하고 현진은 오늘도 둘이 데이트하고 나는 친구랑 페스티벌에 갈 거야.,"Hyngbin and Hynjin will go out for a date again today, while I will go to a festival with a friend.",41,99,101,99,,,,,,,,,,
1_구어체(1).xlsx,구어체,1503,1502,화포 식당은 국내 최고의 숙성육 전문점입니다.,Hwapo Restaurant is the best-aged meat shop in the country.,25,59,63,59,,,,,,,,,,
1_구어체(1).xlsx,구어체,1544,1543,"‘월평 살롱'은 당신이 탐방을 시작할 수 있는 곳이며, 다양한 활동이 이루어질 수 있는 공간입니다.",Wolpyeongs Salon is a place where you can start your visit and where different activities can be done.,55,102,133,102,,,,,,,,,,
1_구어체(1).xlsx,구어체,1553,1552,'건물‘이 주목받는 것이 아니라 '물건‘이 주목받는 거리의 모습이었습니다.,It was a scene of street that the 'merchandise' were receiving more attention rather than the 'buildings.',41,106,103,106,,,,,,,,,,
1_구어체(1).xlsx,구어체,1565,1564,"“쇼핑몰""과 계약을 맺었거나 “쇼핑몰""이 인정한 상품권에 의한 결제입니다.","It is the payment by gift voucher which is concluded with ""shopping mall"" or recognized by ""shopping mall"".",41,107,103,107,,,,,,,,,,
1_구어체(1).xlsx,구어체,1616,1615,"0000에서 요청한 주문대로 2, 3월 선적 모두 지연 없이 요청대로 진행되고 있습니다.",The shipping of February and March are both in process according to the order from 0000 without delay.,49,102,109,102,,,,,,,,,,
1_구어체(1).xlsx,구어체,1741,1740,100달러를 20달러 5장으로 바꿔주세요.,Please change this 100 dollar note to five 20 dollar notes.,23,59,49,59,,,,,,,,,,
1_구어체(1).xlsx,구어체,1865,1864,10월 1일 전에 받아야 하는데 시간이 없습니다.,We need them before the 1st of October and we do not have much time.,27,68,61,68,,,,,,,,,,
1_구어체(1).xlsx,구어체,2059,2058,12월 5일 Mnet 엠카운트다운을 통해 저희가 처음으로 선보일 컴백무대 많이 기대해주세요.,We hope you guys watch our first performance on December 5th at Mnet's Mcountdown.,51,82,117,82,,,,,,,,,,
1_구어체(1).xlsx,구어체,2145,2144,14일 밤부터 17일 밤까지 머무를 예정입니다.,I'm staying from the night of the 14th to the 17th.,26,51,58,51,,,,,,,,,,
1_구어체(1).xlsx,구어체,2230,2229,17살에 미술 수업에 들어갈 계획입니다.,I will go into art class when I am seventeen-year-olds.,22,55,52,55,,,,,,,,,,
1_구어체(1).xlsx,구어체,2315,2314,"1960년대 이후, 도시의 불균형적인 발전으로 인해 도시와 지방의 개발 격차가 심화하였습니다.","After the 1960s, the development gap between the city and the province has deepened because of the country's unbalanced development.",52,132,124,132,,,,,,,,,,
1_구어체(1).xlsx,구어체,2380,2379,19일부터 25일까지 출장 관계상 A 모델은 마무리 검토 후 빠르면 다음 주 늦더라도 1월 말 안으로 보내주도록 하겠습니다.,We will send the model within next week the fastest or within January the latest after the final review as I'm on travel from 19th to 25th.,69,139,159,139,,,,,,,,,,
1_구어체(1).xlsx,구어체,2468,2467,1등 표어와 캐릭터는 회사를 대표하는 표어와 캐릭터로 사무용품에 사용할 예정입니다.,First-grade motto and character will be used in office supplies as motto and character which represent the company.,46,115,116,115,,,,,,,,,,
1_구어체(1).xlsx,구어체,2474,2473,1박 2일 교육 커리큘럼과 자료를 저희가 먼저 받아 볼 수 있을까요?,Can we receive the 1 Night 2 Days Education curriculum and materials first?,38,75,88,75,,,,,,,,,,
1_구어체(1).xlsx,구어체,2669,2668,1학년들은 어서 여기 모입시다.,"Let's gather here, first-year students.",17,39,41,39,,,,,,,,,,
1_구어체(1).xlsx,구어체,2751,2750,2004년부터는 기존의 67세에 2년 하향 조정된 65세부터 연금 수급이 가능하도록 개정되었습니다.,"From 2004, the starting age of receiving the pension decreased by 2 years, from 67 to 65.",55,89,125,89,,,,,,,,,,
1_구어체(1).xlsx,구어체,2776,2775,200명 정도의 고등학생들이 물속에서 생사를 다투고 있습니다.,Almost 200 high school students are struggling between life and death in the water.,34,83,82,83,,,,,,,,,,
1_구어체(1).xlsx,구어체,3009,3008,2030 여성 사이에서는 착즙주스와 아몬드 음료인 ‘아몬드 브리즈'가 편의점 출근길 인기 상품입니다.,"For women in their twenties and thirties, extracted juice and 'Almond Breeze', an almond beverage are popular convenience store products.",56,137,134,137,,,,,,,,,,
1_구어체(1).xlsx,구어체,3011,3010,205호는 3인실이지만 너도 예약할 수 있어.,"Room 205 is for 3 people, but you can book it.",25,46,55,46,,,,,,,,,,
1_구어체(1).xlsx,구어체,3154,3153,28일 이상 예약하려면 워시리스트에 추가하라고 오류가 떠요.,I get an error saying that I have to put it on my wishlist whenever I try to make a reservation that is longer than 28 days.,33,124,81,124,,,,,,,,,,
1_구어체(1).xlsx,구어체,3205,3204,2개의 제품이 동일한 원재료를 사용합니까?,Are the 2 products using the same raw material?,23,47,57,47,,,,,,,,,,
1_구어체(1).xlsx,구어체,3233,3232,2달의 여름방학동안 뭘 할 계획이야?,What are you going to do during 2 months of summer holiday?,20,59,48,59,,,,,,,,,,
1_구어체(1).xlsx,구어체,3263,3262,2번 인보이스는 B 모델에 대한 인보이스야.,Invoice number 2 is an invoice for the B model.,24,47,56,47,,,,,,,,,,
1_구어체(1).xlsx,구어체,3310,3309,2시간 후에 수술이 시작될 예정입니다.,The surgery will start in 2 hours.,21,34,51,34,,,,,,,,,,
1_구어체(1).xlsx,구어체,3337,3336,2월 23일에 100개가 꼭 완료될 수 있도록 협조 부탁드립니다.,"Please, cooperate with us and make sure that those 100 samples are produced by the 23rd of February, on time.",36,109,78,109,,,,,,,,,,
1_구어체(1).xlsx,구어체,3412,3411,2차 대전 후 국가의 우선순위가 변화했습니다.,The priority rank of countries has been changed after the Second World War.,25,75,61,75,,,,,,,,,,
1_구어체(1).xlsx,구어체,3440,3439,2학기 수업이 시작되었습니다.,The second semester was started.,16,32,40,32,,,,,,,,,,
1_구어체(1).xlsx,구어체,3468,3467,3% 용인 초과 적송수준이 아닌 무려 2배 가량이 넘게 선적된 거야.,Its not only over the 3% tolerance over-shipping level but more than twice was shipped.,38,87,86,87,,,,,,,,,,
1_구어체(1).xlsx,구어체,3542,3541,30일간 무료로 이용하실 수 있습니다.,You can use for free for 30 days.,21,33,49,33,,,,,,,,,,
1_구어체(1).xlsx,구어체,3655,3654,3대의 pc들은 정상적으로 IP를 받았으며 별다른 문제도 없습니다.,The 3 PCs received the IP successfully and there are no other particular problems.,37,82,85,82,,,,,,,,,,
1_구어체(1).xlsx,구어체,3726,3725,3월 4월에 국내 오프라인 가맹점 확보가 중요해.,Securing domestic offline agencies in March and April is important.,27,67,63,67,,,,,,,,,,
1_구어체(1).xlsx,구어체,3891,3890,45불을 두 번에 걸쳐 90불을 결제했는데 45불 밖에 환불이 안 됐네요.,"I paid 45 dollars twice to make a payment of 90 dollars, but I received only 45 dollars back.",41,93,89,93,,,,,,,,,,
1_구어체(1).xlsx,구어체,4380,4379,"70,000명 이상의 팔로워, 늘 감사합니다.","More than 70,000 followers, always thank you.",25,45,51,45,,,,,,,,,,
1_구어체(1).xlsx,구어체,4450,4449,"7월부터 8월까지는 쿠폰 행사도 있으니, 주문할 때마다 쿠폰을 꼭 챙기는 것이 좋을 거야.","As there is a coupon event from July to August, you'd better take your coupons whenever you order something.",50,108,118,108,,,,,,,,,,
1_구어체(1).xlsx,구어체,4612,4611,9월 25일에서 28일까지 골프 경기가 진행됩니다.,The golf competition will be held from September 25th to the 28th.,28,66,62,66,,,,,,,,,,
1_구어체(1).xlsx,구어체,4772,4771,A 제품의 설치 설명서를 읽고 나면 메인보드 앞에 압력계를 설치할 수 있을 것 같습니다.,"After reading the installation manual of A product, I think that a pedometer can be installed in front of the main board.",49,121,117,121,,,,,,,,,,
1_구어체(1).xlsx,구어체,5011,5010,"ATL-MIA 구간의 일정이 연기되어서, 우리는 아래의 일정대로 진행할 예정입니다.","Since the ATL-MIA schedule is delayed, we are going to proceed as the schedule below.",46,85,104,85,,,,,,,,,,
1_구어체(1).xlsx,구어체,5145,5144,A와 B 제품의 차이점은 무엇인가요?,What's the difference between the products A and B?,20,51,46,51,,,,,,,,,,
1_구어체(1).xlsx,구어체,5241,5240,B5에서 B7로 바뀐 건가요?,Is it changed from B5 to B7?,16,28,32,28,,,,,,,,,,
1_구어체(1).xlsx,구어체,5346,5345,B의 WEBP 기능을 사용하기 위해서 B와 C를 동시에 사용해도 되나요?,Is it okay to use B and C simultaneously in order to use B's WEBP functions?,40,76,86,76,,,,,,,,,,
1_구어체(1).xlsx,구어체,5513,5512,cp 시험은 꼭 미국에 있어야지만 볼 수 있는 시험이라 나는 1년 더 남아 있을까 생각 중이야.,"CP exams can only be taken in the US, so I am also thinking of staying for another year.",53,88,121,88,,,,,,,,,,
1_구어체(1).xlsx,구어체,5640,5639,Drop의 뜻은 a와 b가 단종된다는 것이 아니라 2mp로 업그레이드할 수 없다는 것입니다.,"Drop does not mean a and b will discontinue, it means it cannot be upgraded to 2mp.",51,83,111,83,,,,,,,,,,
1_구어체(1).xlsx,구어체,5674,5673,"ECMP 프로토콜의 이용과 발전이 있고, 물리적 대역폭 확장이 그것입니다.","They are the use and development of ECMP protocol, and the physical bandwidth expansion.",41,88,95,88,,,,,,,,,,
1_구어체(1).xlsx,구어체,5716,5715,Engion 업체에서 빈 코드 목록을 요청하고 있습니다.,The Engion is ordering a Bin code list.,31,39,67,39,,,,,,,,,,
1_구어체(1).xlsx,구어체,5857,5856,GMO 식품의 안정성 문제는 완료된 것이 아니라 아직 진행상태이에요.,The controversy surrounding the safety of GMO food is not over yet.,38,67,90,67,,,,,,,,,,
1_구어체(1).xlsx,구어체,6077,6076,"IT 트랜드에 맞추어 변화, 도약한다는 이미지에요.",Provide the impression that we change following the IT trends and leap through it.,28,82,66,82,,,,,,,,,,
1_구어체(1).xlsx,구어체,6085,6084,I와 인간은 성관계를 할 수 있게 만들어졌어.,I and humans are made to have sex with each other.,25,50,59,50,,,,,,,,,,
1_구어체(1).xlsx,구어체,6224,6223,K팝 팬이 부른 '2NE1 - Lonely' 커버 노래입니다.,Today is the cover of '2NE1-Lonely' sung by a K-pop fan.,34,56,58,56,,,,,,,,,,
1_구어체(1).xlsx,구어체,6241,6240,Layaway는 가능하고 우리 사이트 내에 make up은 추가 비용 없이 교체 가능해.,"Layaway is possible, and make up on our site is possible for exchange without additional fees.",49,94,97,94,,,,,,,,,,
1_구어체(1).xlsx,구어체,6326,6325,Manhwa는 한글로 만화라는 뜻입니다.,Manhaw means a comic in Korea.,22,30,46,30,,,,,,,,,,
